,genres,app_name,price_x,item_id,developer,user_id,playtime_forever,recommend,sentiment_analysis,genres_encoded
0,Action,Half-Life,9.99,70,Valve,DingarooEF,108.0,True,2,0
252,"Action, Indie, RPG",The Ship: Murder Party,9.99,2400,Outerlight Ltd.,76561198151870370,1.0,True,0,107
580,"Indie, Strategy",DEFCON,9.99,1520,Introversion Software,76561198076145661,158.0,True,2,270
679,"Action, Indie, RPG",The Ship: Single Player,9.99,2420,Outerlight Ltd.,UberDuckLord,15.0,True,2,107
712,"Indie, Simulation",Garry's Mod,9.99,4000,Facepunch Studios,euzi,412.0,True,1,263
4576,Racing,FlatOut 2™,9.99,2990,Bugbear Entertainment,gru69,93.0,True,0,277
4600,Racing,FlatOut,7.49,6220,Bugbear Entertainment,76561198072057950,46.0,True,2,277
4605,"Action, Adventure, RPG",The Longest Journey,9.99,6310,Funcom,JOHN_COOL,32.0,True,1,47
4606,Strategy,Sid Meier's Railroads!,9.99,7600,"Firaxis Games,Feral Interactive (Mac)",degen97,22.0,True,2,287
4613,"Action, Adventure",Tomb Raider: Anniversary,8.99,8000,"Crystal Dynamics,Feral Interactive (Mac)",76561198230001036,313.0,True,2,1
4619,Action,Devil May Cry® 3 Special Edition,19.99,6550,"CAPCOM Co., Ltd.",76561198082820453,93.0,True,0,0
4637,Action,Ultimate Doom,4.99,2280,id Software,76561198172099661,87.0,True,0,0
4671,Action,Master Levels for Doom II,14.99,9160,id Software,Flukii,21.0,True,0,0
4675,Action,DOOM II,4.99,2300,id Software,76561198093387021,10.0,True,2,0
4688,Action,Wolfenstein 3D,4.99,2270,id Software,76561198049028241,300.0,True,2,0
4721,Action,Return to Castle Wolfenstein,4.99,9010,Gray Matter Studios,76561198062774164,616.0,True,0,0
4736,Action,QUAKE,4.99,2310,id Software,thisissohardtomakeoneup,16.0,True,0,0
4793,"Action, RPG",BioShock™,19.99,7670,"2K Boston,2K Australia",76561198156664158,633.0,True,2,130
5229,Strategy,"Warhammer® 40,000: Dawn of War® - Game of the Year Edition",12.99,4570,Relic Entertainment,76561198034942509,256.0,True,2,287
5339,Strategy,"Warhammer® 40,000: Dawn of War® - Dark Crusade",12.99,4580,Relic Entertainment,76561198001809619,375.0,True,2,287
5419,Strategy,Rome: Total War™ - Collection,9.99,4760,The Creative Assembly,76561198028286104,51.0,True,2,287
5548,Action,Manhunt,9.99,12130,Rockstar North,76561198044820000,836.0,True,0,0
5550,Action,Max Payne 2: The Fall of Max Payne,9.99,12150,Remedy Entertainment,Merwer7,1095.0,False,1,0
5558,"Action, Adventure",Tomb Raider: Legend,6.99,7000,Crystal Dynamics,76561198001658156,265.0,True,2,1
5562,Action,Max Payne,9.99,12140,Remedy Entertainment,76561198018465863,39.0,True,0,0
5590,Strategy,Command & Conquer: Red Alert 3,19.99,17480,EA Los Angeles,76561198100305188,7357.0,True,2,287
5636,Casual,PuzzleQuest: Challenge of the Warlords,9.99,12500,Infinite Interactive,Noorman,422.0,True,2,190
5640,"Simulation, Strategy",RollerCoaster Tycoon® 3: Platinum,19.99,2700,"Frontier,Aspyr (Mac)",DarkDragonForce,16.0,True,2,283
5697,Action,Unreal Gold,9.99,13250,"Epic Games, Inc.",76561198079756695,21.0,True,2,0
5702,Action,Tom Clancy's Splinter Cell®,9.99,13560,Ubisoft,Jacab,125.0,False,1,0
5707,Action,Far Cry®,9.99,13520,Crytek Studios,76561198083694160,126.0,True,2,0
5755,Simulation,IL-2 Sturmovik: 1946,9.99,15320,1C: Maddox Games,76561198079958208,45.0,True,2,281
5779,"Simulation, Strategy",Pacific Storm Allies,7.99,11260,Lesta Studio,76561198020928326,837.0,False,0,283
5780,Racing,FlatOut: Ultimate Carnage,19.99,12360,Bugbear Entertainment,76561198021814659,706.0,True,2,277
5787,Adventure,Oddworld: Abe's Exoddus®,2.99,15710,Oddworld Inhabitants,76561198055335886,62.0,True,2,144
5793,Adventure,Oddworld: Abe's Oddysee®,2.99,15700,Oddworld Inhabitants,PPanther,28.0,True,2,144
5874,Strategy,X-COM: Enforcer,4.99,7770,"MicroProse Software, Inc",Qzt,4.0,True,0,287
5878,Strategy,X-COM: Apocalypse,4.99,7660,"MicroProse Software, Inc",santiagoivanov,43.0,True,2,287
5882,Strategy,X-COM: UFO Defense,4.99,7760,"MicroProse Software, Inc",76561198040814960,14.0,True,2,287
5914,"Action, RPG",S.T.A.L.K.E.R.: Clear Sky,9.99,20510,GSC Game World,76561198083306816,307.0,False,2,130
5954,Action,Crysis Warhead®,19.99,17330,Crytek,devvonst,31.0,True,1,0
5978,Action,Crysis,19.99,17300,Crytek,76561198098065176,253.0,True,2,0
6110,Strategy,X-COM: Interceptor,4.99,7730,"MicroProse Software, Inc",76561198056163371,12.0,True,2,287
6112,"Action, RPG",The Witcher: Enhanced Edition Director's Cut,9.99,20900,CD PROJEKT RED,76561198100297613,139.0,True,0,130
6368,Strategy,Sid Meier's Civilization IV: Colonization,19.99,16810,Firaxis Games,76561198034337192,3.0,True,0,287
6374,Action,Tom Clancy's Rainbow Six® 3 Gold,9.99,19830,"Red Storm Entertainment,Ubisoft Montreal",76561198082129553,25.0,True,2,0
6376,"Action, Adventure",LEGO Batman,19.99,21000,Traveller's Tales,sisiiik,17.0,True,2,1
6384,Action,Brothers in Arms: Hell's Highway™,9.99,15390,Gearbox Software,76561198047866299,112.0,True,0,0
6396,Indie,World of Goo,9.99,22000,2D BOY,starkillershadow553,195.0,True,2,249
6460,"Action, Simulation, Strategy",X3: Terran Conflict,15.99,2820,Egosoft,aProfileInTheMidOfNowhere,33.0,False,0,138
6474,"Action, Adventure",Bully: Scholarship Edition,14.99,12200,Rockstar New England,76561198084702160,89.0,True,2,1
6606,Action,Far Cry® 2: Fortune's Edition,9.99,19900,Ubisoft Montreal,pon2543007,1313.0,True,2,0
6810,"Action, Indie, Strategy",Space Trader: Merchant Marine,4.99,11240,Meridian4,lzw333,16.0,False,2,126
6813,Action,Saints Row 2,9.99,9480,Volition,76561198064352761,30.0,True,2,0
7133,Action,Dead Space,19.99,17470,EA Redwood Shores,ChodeyNips,574.0,True,2,0
7259,"Action, Adventure",Mirror's Edge™,19.99,17410,DICE,en-esta-partecita-esta-zacler,356.0,True,2,1
8003,"Indie, Strategy",Defense Grid: The Awakening,9.99,18500,Hidden Path Entertainment,therealmorty,126.0,True,2,270
8043,Action,F.E.A.R. 2: Project Origin,14.99,16450,Monolith,fgepojkldfhklsdfhphdf,481.0,True,0,0
8062,"Action, Indie",Larva Mortus,4.99,11340,Meridian4,76561198089344348,136.0,True,2,102
8063,Strategy,Knights of Honor,9.99,25830,Black Sea Studios Ltd,76561198065170697,117.0,True,0,287
8065,"Action, Adventure, Indie",Penumbra Overture,9.99,22180,Frictional Games,76561198000568847,20.0,True,2,28
8075,Action,Unreal Tournament 3 Black,19.99,13210,"Epic Games, Inc.",76561198075270092,137.0,True,2,0
8096,Racing,Burnout Paradise: The Ultimate Box,19.99,24740,Criterion Games,Sammeh00,23.0,True,2,277
8360,"Casual, Indie",Obulis,4.99,11330,IonFX,SilenceTheFurryGamer,16.0,True,2,204
8364,RPG,Two Worlds Epic Edition,9.99,1930,Reality Pump Studios,76561198093777811,186.0,True,2,273
8390,"Action, Adventure, RPG",X-Blades,9.99,7510,Gaijin Entertainment,BlaZE_,117.0,True,1,47
8394,"Action, Indie",Zeno Clash,9.99,22200,ACE Team,wirlom,271.0,True,2,102
8422,"RPG, Strategy",King's Bounty: The Legend,6.99,25900,1C Company,76561198075277292,1389.0,True,2,276
8428,Racing,Death Track®: Resurrection,2.99,7840,Sky Fallen,76561198049020910,292.0,True,1,277
8429,"RPG, Strategy",Freedom Force,4.99,8880,Irrational Games,Rordizzle,162.0,True,2,276
8433,"Action, Simulation",Darkest Hour: Europe '44-'45,Free,1280,Darklight Games,Bird_Of_PrAy,55.0,True,2,137
8446,"Action, Adventure",Prototype™,19.99,10150,Radical Entertainment,bournedemocracy,359.0,True,1,1
8494,RPG,The Elder Scrolls IV: Oblivion® Game of the Year Edition,14.99,22330,Bethesda Game Studios,76561198045754869,230.0,True,2,273
8762,RPG,The Elder Scrolls III: Morrowind® Game of the Year Edition,14.99,22320,Bethesda Game Studios,76561198032478055,16.0,True,2,273
8842,Action,Street Fighter® IV,19.99,21660,Capcom,ZiggyPolvoEstelar,23903.0,True,2,0
8848,Action,"Star Wars: Battlefront 2 (Classic, 2005)",9.99,6060,Pandemic Studios,EnderRay10420,37.0,True,2,0
9682,Adventure,The Secret of Monkey Island: Special Edition,9.99,32360,LucasArts,76561198046958203,8.0,True,2,144
9686,Sports,3D Ultra™ Minigolf Adventures,9.99,10140,Wanako Games,76561198054540475,25.0,True,0,285
9687,Action,TimeShift™,19.99,10130,Saber Interactive,76561198059569720,528.0,True,2,0
9692,"Simulation, Strategy",Tropico Reloaded,6.99,33520,"PopTop Software,BreakAway Games,Frog City Software",miku004,812.0,False,0,283
9693,"Action, Indie",Foreign Legion: Buckets of Blood,4.99,36000,Sakari Indie,Enigmedic,355.0,True,2,102
