,user_id,item_id,item_name,playtime_forever
0,76561197970982479,10,Counter-Strike,6.0
1,js41637,20,Team Fortress Classic,0.0
2,evcentric,30,Day of Defeat,7.0
3,Riot-Punch,40,Deathmatch Classic,0.0
4,doctr,50,Half-Life: Opposing Force,0.0
5,MinxIsBetterThanPotatoes,60,Ricochet,0.0
6,NitemarePK,70,Half-Life,0.0
7,themanwich,130,Half-Life: Blue Shift,0.0
8,maplemage,300,Day of Defeat: Source,4733.0
9,Wackky,240,Counter-Strike: Source,1853.0
10,corrupted_soul,3830,Psychonauts,333.0
11,76561198079601835,2630,Call of Duty 2,75.0
12,jorellpogi,3900,Sid Meier's Civilization IV,338.0
13,cadmusthreepointoh,34440,Sid Meier's Civilization IV,0.0
14,76561198064823719,3920,Sid Meier's Pirates!,2.0
15,MeaTCompany,6400,Joint Task Force,286.0
16,76561198089393905,6910,Deus Ex: Game of the Year Edition,2685.0
17,76561198156664158,7670,BioShock,633.0
18,76561198077246154,409710,BioShock Remastered,0.0
19,76561198070234207,220,Half-Life 2,696.0
20,WeiEDKrSat,320,Half-Life 2: Deathmatch,0.0
21,thequeenpanda,340,Half-Life 2: Lost Coast,37.0
22,death-hunter,360,Half-Life Deathmatch: Source,0.0
23,turneddreamsintoanempire,380,Half-Life 2: Episode One,168.0
24,DJKamBer,400,Portal,173.0
25,76561198030389591,420,Half-Life 2: Episode Two,323.0
26,Rainbow-Dashie,9340,Company of Heroes: Opposing Fronts,692.0
27,btuty8trgt,228200,Company of Heroes (New Steam Version),0.0
28,76561198043472122,11450,Overlord,0.0
29,MarbleShrine,7940,Call of Duty 4: Modern Warfare,1185.0
30,fdcfelipefdc,4700,Medieval II: Total War,477.0
31,hellom8o,12900,Audiosurf,115.0
32,bbaekhyun,13250,Unreal Gold,0.0
33,Moomfina,16100,Virtual Villagers: A New Home,0.0
34,PPanther,15700,Oddworld: Abe's Oddysee,28.0
35,ABSOLUTLY_NOTHING,15710,Oddworld: Abe's Exoddus,0.0
36,devvonst,17330,Crysis Warhead,31.0
37,Fr0stedLine,17340,Crysis Wars,0.0
38,starkillershadow553,22000,World of Goo,195.0
39,76561198058373434,500,Left 4 Dead,513.0
40,76561198048353577,4560,Company of Heroes,1061.0
41,76561198072190369,17460,Mass Effect,1613.0
42,76561198066046412,10500,Empire: Total War,186.0
43,tru_mu_,24740,Burnout Paradise: The Ultimate Box,0.0
44,wirlom,22200,Zeno Clash,271.0
45,76561198070565427,26800,Braid,445.0
46,SavageEeEe,1250,Killing Floor,10006.0
47,76561198076909484,35420,Killing Floor Mod: Defence Alliance 2,0.0
48,76561198066908262,3590,Plants vs. Zombies: Game of the Year,4413.0
49,KanadeTheNeko,8880,Freedom Force,0.0
50,Leaf_Light_Moscow,8890,Freedom Force vs. the 3rd Reich,0.0
51,erickoiv,23120,Droplitz,53.0
52,GoAwayZach,35700,Trine,199.0
53,76561198054540475,10140,3D Ultra Minigolf Adventures Deluxe,25.0
54,darkenkane,35010,Batman: Arkham Asylum,570.0
55,76561198100701221,35140,Batman: Arkham Asylum GOTY Edition,0.0
56,76561198085547365,29180,Osmos,940.0
57,76561198061252210,15520,AaAaAA!!! - A Reckless Disregard for Gravity,110.0
58,OfficialShroomsy,32370,STAR WARS™: Knights of the Old Republic™,5.0
59,76561198056147391,37700,Darkest of Days,782.0
60,8Bit-Ninja,6020,STAR WARS™ Jedi Knight: Jedi Academy™,77.0
61,76561198071500702,24860,Battlefield 2,437.0
62,76561198099905030,39530,Painkiller: Black Edition,503.0
63,76561198047407223,550,Left 4 Dead 2,1474.0
64,latiano,223530,Left 4 Dead 2 Beta,0.0
65,kongtape,8980,Borderlands,3061.0
66,boydeer,41500,Torchlight,536.0
67,76561198100297613,20900,The Witcher: Enhanced Edition,139.0
68,VVillis,10180,Call of Duty: Modern Warfare 2,1886.0
69,Bubblecup,10190,Call of Duty: Modern Warfare 2 - Multiplayer,1784.0
70,76561198083226897,17450,Dragon Age: Origins,4431.0
71,76561198082525427,3170,King's Bounty: Armored Princess,1021.0
72,76561198075277292,25900,King's Bounty: The Legend,1389.0
73,76561198094630961,31410,Zombie Driver,95.0
74,12549,24980,Mass Effect 2,5001.0
75,76561198028895010,8850,BioShock 2,1504.0
76,76561198092411867,409720,BioShock 2 Remastered,0.0
77,76561198170198366,46000,Bob Came in Pieces,11.0
78,diego9031,33230,Assassin's Creed II,1636.0
79,iampiepiepie,20820,Shatter,46.0
80,76561198079863506,47700,Command and Conquer 4: Tiberian Twilight,85.0
81,jarrodtrim,24960,Battlefield: Bad Company 2,5716.0
82,76561198078738103,43110,Metro 2033,834.0
83,76561198068964564,8190,Just Cause 2,3083.0
84,76561198067936203,49600,Beat Hazard,127.0
85,76561198079770573,31220,Sam & Max 301: The Penal Zone,71.0
86,UpTheAss,31230,Sam & Max 302: The Tomb of Sammun-Mak,0.0
87,76561198048504366,31240,Sam & Max 303: They Stole Max's Brain!,0.0
88,76561197977385164,31250,Sam & Max 304: Beyond the Alley of the Dolls,0.0
89,76561198075491015,31260,Sam & Max 305: The City that Dares not Sleep,0.0
90,76561198087586464,21090,F.E.A.R.,585.0
91,76561198086878953,21110,F.E.A.R.: Extraction Point,146.0
92,Derp-e,21120,F.E.A.R.: Perseus Mandate,0.0
93,76561198070194565,49400,Magic: The Gathering - Duels of the Planeswalkers,32.0
94,Rivtex,33910,Arma 2,3.0
95,firefreddy,33930,Arma 2: Operation Arrowhead,3.0
96,UTNerd24,219540,Arma 2: Operation Arrowhead Beta (Obsolete),0.0
97,sandwiches1,17410,Mirror's Edge,0.0
98,76561198093083895,205790,Dota 2 Test,0.0
99,76561198138053270,50130,Mafia II,707.0
100,76561198062422084,62100,Chime,50.0
101,steamurl,31280,Poker Night at the Inventory,206.0
102,lucaswerg,57300,Amnesia: The Dark Descent,12.0
103,Life-Of-Blu,21970,R.U.S.E,64.0
104,CaptianAutismo,8930,Sid Meier's Civilization V,10345.0
105,maxgp,41000,Serious Sam HD: The First Encounter,369.0
106,AppaTheSwagBison,41050,Serious Sam Classic: The First Encounter,76.0
107,knightboy991,41060,Serious Sam Classic: The Second Encounter,0.0
108,76561198034678103,227780,Serious Sam Classics: Revolution,0.0
109,76561198075895633,18040,DeathSpank,594.0
110,TheDropix101,22380,Fallout: New Vegas,43.0
111,kube134,42700,Call of Duty: Black Ops,966.0
112,iamthekingofbrowntown,42710,Call of Duty: Black Ops - Multiplayer,2452.0
113,MainScout,62000,Flight Control HD,25.0
114,gdxsd,40800,Super Meat Boy,119.0
115,yookobz,9500,Gish,6.0
116,Posiblydead,18700,And Yet It Moves,0.0
117,Mossy_Gaming,31270,Puzzle Agent,0.0
118,76561198093817084,58200,Jolly Rover,0.0
119,76561198102421718,70400,Recettear: An Item Shop's Tale,537.0
120,76561198079045885,41300,Altitude,50.0
121,76561198087407319,41800,Gratuitous Space Battles,149.0
122,76561198074466513,42500,DogFighter,0.0
123,damo131,49900,Plain Sight,23.0
124,19702316748,55000,Flotilla,0.0
125,FrystHjarte,34330,Total War: SHOGUN 2,1538.0
126,76561198056741844,63200,Monday Night Combat,573.0
127,sad-commie,99810,Bulletstorm,2.0
128,Sillybaby,620,Portal 2,887.0
129,76561198030567998,42910,Magicka,588.0
130,76561198010674657,15500,The Wonderful End of the World,0.0
131,Coldaniel,15540,1... 2... 3... KICK IT! (Drop That Beat Like an Ugly Baby),4.0
132,therealmorty,18500,Defense Grid: The Awakening,126.0
133,itslonk,26500,Cogs,0.0
134,DeDroidUreLookin4,35460,The Ball,0.0
135,Berserklejerker,38700,Toki Tori,0.0
136,76561198088799241,38720,RUSH,0.0
137,76561198061730629,63700,BIT.TRIP BEAT,0.0
138,YoHuNz,280,Half-Life: Source,0.0
139,possessioniskey,20920,The Witcher 2: Assassins of Kings Enhanced Edition,1343.0
140,76561198072732874,105600,Terraria,772.0
141,76561198093112529,98200,Frozen Synapse,9.0
142,sevqu,4500,S.T.A.L.K.E.R.: Shadow of Chernobyl,0.0
143,76561198060447950,4540,Titan Quest,3.0
144,whiteofwolfing,4550,Titan Quest: Immortal Throne,76.0
145,76561198056857968,9480,Saints Row 2,0.0
146,sergarino,15620,"Warhammer® 40,000™: Dawn of War® II",2085.0
147,PyroCreed,20500,Red Faction: Guerrilla Steam Edition,0.0
148,76561198052897627,20570,"Warhammer® 40,000™: Dawn of War® II - Chaos Rising™",69.0
149,76561198081962345,50620,Darksiders,101.0
150,76561198039266268,55100,Homefront,51.0
151,76561198094224872,55140,MX vs. ATV Reflex,0.0
152,76561198073210139,56400,"Warhammer® 40,000™: Dawn of War® II – Retribution™",678.0
153,Nozomikat,475150,Titan Quest Anniversary Edition,0.0
154,76561198076933844,96100,Defy Gravity,9.0
155,76561198072186059,35450,Rising Storm/Red Orchestra 2 Multiplayer,14194.0
156,xfluttersx,236830,Red Orchestra 2: Heroes of Stalingrad - Single Player,0.0
157,76561198068621601,72850,The Elder Scrolls V: Skyrim,2512.0
158,76561198056290589,107100,Bastion,640.0
159,thompyawesomeness,57690,Tropico 4,1815.0
160,ii_voltage_ii,91310,Dead Island,2078.0
161,76561198097762318,113200,The Binding of Isaac,1494.0
162,Hirukaz,65800,Dungeon Defenders,130.0
163,StelerForYou,9200,RAGE,653.0
164,76561198183396245,41070,Serious Sam 3: BFE,716.0
165,otteloo,48950,Greed Corp,72.0
166,shinra420,92800,SpaceChem,262.0
167,Xx-Woods,104700,Super Monday Night Combat,44.0
168,kevinator23,203770,Crusader Kings II,18.0
169,tonyballoney,203810,Dear Esther,86.0
170,76561198090715178,110800,L.A. Noire,1204.0
171,CatsWhale,207610,The Walking Dead,798.0
172,Child_Vs_Puddle,98300,Toy Soldiers,110.0
173,76561198073784601,50300,Spec Ops: The Line,296.0
174,mimimomoma,204300,Awesomenauts,0.0
175,76561198102410011,1700,Arx Fatalis,0.0
176,de_Butl3r,205100,Dishonored,1429.0
177,76561198157999555,211120,The Political Machine,1.0
178,76561198027947401,730,Counter-Strike: Global Offensive,23532.0
179,Bluezap1,49520,Borderlands 2,1303.0
180,76561198074200011,200260,Batman: Arkham City GOTY,100.0
181,jonasdbomb,212680,FTL: Faster Than Light,500.0
182,L1J1N,200710,Torchlight II,459.0
183,Lord_Exploit,219150,Hotline Miami,0.0
184,76561198079106676,215510,Rocketbirds: Hardboiled Chicken,0.0
185,76561198092244787,8870,BioShock Infinite,2084.0
186,Sanctus94,200510,XCOM: Enemy Unknown,3478.0
187,76561197990792016,220240,Far Cry® 3,182.0
188,76561198068415226,218680,Scribblenauts Unlimited,0.0
