,genres,app_name,title,release_date,price,id,developer
0,"['Action', 'Casual', 'Indie', 'Simulation', 'Strategy']",Lost Summoner Kitty,Lost Summoner Kitty,2018-01-04,4.99,761140,Kotoshiro
1,"['Free to Play', 'Indie', 'RPG', 'Strategy']",Ironbound,Ironbound,2018-01-04,Free To Play,643980,Secret Level SRL
2,"['Casual', 'Free to Play', 'Indie', 'Simulation', 'Sports']",Real Pool 3D - Poolians,Real Pool 3D - Poolians,2017-07-24,Free to Play,670290,Poolians.com
3,"['Action', 'Adventure', 'Casual']",弹炸人2222,弹炸人2222,2017-12-07,0.99,767400,彼岸领域
4,"['Action', 'Adventure', 'Simulation']",Battle Royale Trainer,Battle Royale Trainer,2018-01-04,3.99,772540,Trickjump Games Ltd
5,"['Free to Play', 'Indie', 'Simulation', 'Sports']",SNOW - All Access Pro Pass,SNOW - All Access Pro Pass,2018-01-04,18.99,774277,Poppermost Productions
6,"['Free to Play', 'Indie', 'Simulation', 'Sports']",SNOW - All Access Legend Pass,SNOW - All Access Legend Pass,2018-01-04,29.99,774278,Poppermost Productions
7,"['Action', 'Adventure', 'Casual', 'Indie', 'RPG']",Army of Tentacles: (Not) A Cthulhu Dating Sim: Black GOAT of the Woods Edition,Army of Tentacles: (Not) A Cthulhu Dating Sim: Black GOAT of the Woods Edition,2018-01-04,10.99,770380,Stegalosaurus Game Development
8,"['Casual', 'Indie']",Beach Rules,Beach Rules,2018-01-04,3.99,768880,Copperpick Studio
9,"['Casual', 'Indie', 'Simulation']",Planetarium 2 - Zen Odyssey,Planetarium 2 - Zen Odyssey,2018-01-03,2.99,765320,Ghulam Jewel
10,"['Adventure', 'Casual', 'Indie', 'Simulation', 'Strategy']",The first thrust of God,The first thrust of God,2018-01-03,1.59,773650,Apillo
11,"['Free to Play', 'Indie', 'Simulation', 'Sports']",SNOW - Starter Pack,SNOW - Starter Pack,2018-01-03,14.99,774271,Poppermost Productions
12,"['Adventure', 'Casual', 'Indie', 'Simulation', 'Strategy']",The first thrust of God - All Aircrafts,The first thrust of God - All Aircrafts,2018-01-03,1.99,773690,Apillo
13,"['Free to Play', 'Indie', 'Simulation', 'Sports']",SNOW - Lifetime Pack,SNOW - Lifetime Pack,2018-01-03,59.99,774279,Poppermost Productions
14,"['Action', 'Adventure', 'Indie']",The Warrior Of Treasures,The Warrior Of Treasures,2018-01-03,0.99,768060,Tero Lunkka
15,"['Racing', 'Simulation', 'Sports']",RC Plane 3 - Canyon Scenario,RC Plane 3 - Canyon Scenario,2017-12-22,2.99,775880,FrozenPepper
16,"['Racing', 'Simulation', 'Sports']",RC Plane 3 - F-53B,RC Plane 3 - F-53B,2017-12-23,2.99,775881,FrozenPepper
17,"['Action', 'Indie']",DinoBlaster,DinoBlaster,2018-01-03,4.99,653960,Casey Labrack
18,"['Action', 'Indie', 'Racing']",Carmageddon Max Pack,Carmageddon Max Pack,1997-06-30,9.99,282010,Stainless Games Ltd
19,['Action'],Half-Life,Half-Life,1998-11-08,9.99,70,Valve
20,"['Action', 'Indie', 'RPG']",Fallen Mage,Fallen Mage,2016-11-25,1.99,752360,dev4play
21,"['Casual', 'Indie', 'Simulation']",Vaporwave Simulator,Vaporwave Simulator,2018-01-01,0.99,766850,ETGgames
22,"['Adventure', 'Casual', 'Indie', 'RPG']",Bitcoin Clicker,Bitcoin Clicker,2018-01-01,0.99,716110,"lalalaZero,Urbanoff"
23,['Strategy'],Disciples II: Gallean's Return,Disciples II: Gallean's Return,2006-07-06,6.99,1640,Strategy First
24,['Strategy'],Disciples II: Rise of the Elves,Disciples II: Rise of the Elves,2006-07-06,6.99,1630,Strategy First
25,"['Action', 'Indie', 'RPG']",The Ship: Murder Party,The Ship: Murder Party,2006-07-11,9.99,2400,Outerlight Ltd.
26,"['Action', 'Indie', 'Strategy', 'Early Access']",Souland,Souland,2017-12-29,7.99,759920,Ultraint
27,"['Action', 'Adventure', 'Indie', 'RPG']",TAROTICA VOO DOO,TAROTICA VOO DOO,2017-12-29,10.99,603280,TPM.CO SOFT WORKS
28,"['Casual', 'Strategy', 'Early Access']",Chronicles of Vinland,Chronicles of Vinland,2017-12-29,9.99,753110,Wonderbox Games
29,"['Action', 'Indie']",Orbitality,Orbitality,2017-12-29,9.99,753100,Wonderbox Games
30,"['Action', 'Adventure', 'Casual']",Atomic Adam: Episode 1,Atomic Adam: Episode 1,2017-12-30,1.99,764280,Mad Unicorn Games
31,['Action'],Advent Rising,Advent Rising,2005-08-09,9.99,3800,GlyphX Games
32,"['Indie', 'Strategy']",DEFCON,DEFCON,2006-09-29,9.99,1520,Introversion Software
33,"['Action', 'Indie', 'RPG']",The Ship: Single Player,The Ship: Single Player,2006-11-20,9.99,2420,Outerlight Ltd.
34,"['Indie', 'Simulation']",Garry's Mod,Garry's Mod,2006-11-29,9.99,4000,Facepunch Studios
35,['Racing'],RACE - The WTCC Game,RACE - The WTCC Game,2006-11-24,39.99,4230,SimBin
36,"['Casual', 'Indie']",Zen of Sudoku,Zen of Sudoku,2006-12-14,Free,4900,Unknown Worlds Entertainment
37,"['Casual', 'Indie']",Gumboy - Crazy Adventures™,Gumboy - Crazy Adventures™,2006-12-19,4.99,2520,"CINEMAX, s.r.o."
38,['Strategy'],Ghost Master®,Ghost Master®,2003-08-23,4.99,6200,Sick Puppies
39,['Strategy'],Vegas: Make It Big™,Vegas: Make It Big™,2006-12-21,4.99,6210,Deepred
40,"['Adventure', 'RPG']",Dreamfall: The Longest Journey,Dreamfall: The Longest Journey,2006-04-17,19.99,6300,Funcom
41,['Racing'],FlatOut 2™,FlatOut 2™,2006-08-01,9.99,2990,Bugbear Entertainment
42,['Racing'],FlatOut,FlatOut,2005-07-12,7.49,6220,Bugbear Entertainment
43,"['Action', 'Adventure']",Lost Planet™: Extreme Condition,Lost Planet™: Extreme Condition,2007-06-26,14.99,6510,"CAPCOM Co., Ltd."
44,['Strategy'],CivCity: Rome,CivCity: Rome,2006-07-24,9.99,3980,"FireFly Studios,Firaxis Games"
45,['RPG'],Arx Fatalis,Arx Fatalis,2002-11-12,4.99,1700,Arkane Studios
46,"['Action', 'Adventure', 'RPG']",The Longest Journey,The Longest Journey,2000-11-17,9.99,6310,Funcom
47,['Strategy'],Civilization IV®: Warlords,Civilization IV®: Warlords,2006-07-24,4.99,3990,Firaxis Games
48,['Strategy'],Railroad Tycoon 3,Railroad Tycoon 3,2003-10-23,9.99,7610,PopTop
49,['Strategy'],Sid Meier's Railroads!,Sid Meier's Railroads!,2006-10-16,9.99,7600,"Firaxis Games,Feral Interactive (Mac)"
50,['Strategy'],Railroad Tycoon II Platinum,Railroad Tycoon II Platinum,1998-10-31,4.99,7620,PopTop
51,['Strategy'],X-COM: Terror From the Deep,X-COM: Terror From the Deep,1995-04-01,4.99,7650,"MicroProse Software, Inc"
52,"['Action', 'Adventure']",Tomb Raider: Anniversary,Tomb Raider: Anniversary,2007-06-05,8.99,8000,"Crystal Dynamics,Feral Interactive (Mac)"
53,['Action'],Devil May Cry® 3 Special Edition,Devil May Cry® 3 Special Edition,2006-05-23,19.99,6550,"CAPCOM Co., Ltd."
54,"['Action', 'Adventure']",Sam & Max 101: Culture Shock,Sam &amp; Max 101: Culture Shock,2006-10-17,19.99,8200,Telltale Games
55,['Action'],Final DOOM,Final DOOM,1996-06-17,4.99,2290,id Software
56,"['Action', 'Adventure']",Sam & Max 102: Situation: Comedy,Sam &amp; Max 102: Situation: Comedy,2006-12-20,19.99,8210,Telltale Games
57,['Action'],Ultimate Doom,Ultimate Doom,1995-04-30,4.99,2280,id Software
58,['Action'],Master Levels for Doom II,Master Levels for Doom II,1995-06-01,14.99,9160,id Software
59,['Action'],DOOM II,DOOM II,1994-05-05,4.99,2300,id Software
60,['Action'],Wolfenstein 3D,Wolfenstein 3D,1994-08-03,4.99,2270,id Software
61,['Action'],Return to Castle Wolfenstein,Return to Castle Wolfenstein,2001-11-20,4.99,9010,Gray Matter Studios
62,['Action'],QUAKE Mission Pack 1: Scourge of Armagon,QUAKE Mission Pack 1: Scourge of Armagon,1997-02-28,2.99,9040,Ritual Entertainment
63,['Action'],Spear of Destiny,Spear of Destiny,1993-10-10,2.99,9000,id Software
64,['Action'],BloodRayne,BloodRayne,2003-09-09,9.99,3810,Terminal Reality
65,['Action'],QUAKE Mission Pack 2: Dissolution of Eternity,QUAKE Mission Pack 2: Dissolution of Eternity,2007-08-03,2.99,9030,Rogue Entertainment
66,['Action'],QUAKE,QUAKE,2007-05-31,4.99,2310,id Software
67,['Strategy'],Genesis Rising,Genesis Rising,2007-03-20,4.99,3230,Metamorf
68,['Strategy'],"Warhammer® 40,000: Dawn of War® – Winter Assault","Warhammer® 40,000: Dawn of War® – Winter Assault",2006-01-01,12.99,9310,Relic Entertainment
69,"['Action', 'RPG']",BioShock™,BioShock™,2007-08-21,19.99,7670,"2K Boston,2K Australia"
70,['Strategy'],"Warhammer® 40,000: Dawn of War® - Game of the Year Edition","Warhammer® 40,000: Dawn of War® - Game of the Year Edition",2006-01-01,12.99,4570,Relic Entertainment
71,['Strategy'],"Warhammer® 40,000: Dawn of War® - Dark Crusade","Warhammer® 40,000: Dawn of War® - Dark Crusade",2006-10-09,12.99,4580,Relic Entertainment
72,['Strategy'],Rome: Total War™ - Collection,Rome: Total War™ - Collection,2004-09-22,9.99,4760,The Creative Assembly
73,['Strategy'],Rome: Total War™ - Alexander,Rome: Total War™ - Alexander,2006-06-26,4.99,4770,The Creative Assembly
74,['Casual'],Mystery Case Files: Madame Fate®,Mystery Case Files: Madame Fate®,2007-12-14,6.99,50970,Big Fish Games
75,['Action'],Manhunt,Manhunt,2004-04-20,9.99,12130,Rockstar North
76,['Racing'],Midnight Club 2,Midnight Club 2,2003-07-01,9.99,12160,Rockstar San Diego
77,['Action'],Max Payne 2: The Fall of Max Payne,Max Payne 2: The Fall of Max Payne,2003-10-14,9.99,12150,Remedy Entertainment
78,"['Action', 'Adventure']",Tomb Raider: Legend,Tomb Raider: Legend,2006-04-07,6.99,7000,Crystal Dynamics
79,['Action'],Max Payne,Max Payne,2001-07-25,9.99,12140,Remedy Entertainment
80,['Strategy'],Command & Conquer: Red Alert 3,Command &amp; Conquer: Red Alert 3,2008-10-28,19.99,17480,EA Los Angeles
81,['Casual'],PuzzleQuest: Challenge of the Warlords,PuzzleQuest: Challenge of the Warlords,2007-10-10,9.99,12500,Infinite Interactive
82,"['RPG', 'Casual', 'Adventure']",Culpa Innata,Culpa Innata,2007-10-23,9.99,12310,Momentum Digital Media Technologies
83,['Strategy'],Prison Tycoon 3™: Lockdown,Prison Tycoon 3™: Lockdown,2007-08-01,9.99,12510,"Gamebryo,Virtual Playground"
84,"['Action', 'Adventure', 'Strategy']",Hunting Unlimited™ 2008,Hunting Unlimited™ 2008,2007-09-01,9.99,12530,SCS Software
85,['Racing'],18 Wheels of Steel: American Long Haul,18 Wheels of Steel: American Long Haul,2007-12-03,9.99,12520,SCS Software
86,['Action'],Conflict: Denied Ops,Conflict: Denied Ops,2008-02-08,5.99,8100,Pivotal Games
